company_name,symbol,exchange,sector,industry,theme,market_cap_type,is_sme
Bhavik Enterprises Ltd,BHAVIK,BSE SME,Chemicals,Chemicals,,Micro,True
Billwin Industries Ltd,BILLWIN,BSE SME,Diversified,Diversified,,Micro,True
Bindal Exports Ltd,BINDALEXPO,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Bizotic Commercial Ltd,BIZOTIC,BSE SME,Textiles,Textiles,,Micro,True
BLT Logistics Ltd,BLT,BSE SME,Services,Services,,Micro,True
Bothra Metals & Alloys Ltd,BMAL,BSE SME,Metals & Mining,Metals & Mining,,Micro,True
Bondada Engineering Ltd,BONDADA,BSE SME,Telecommunication,Telecommunication,,Micro,True
Brandbucket Media & Technology Ltd,BRANDBUCKT,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
B.R.Goyal Infrastructure Ltd,BRGIL,BSE SME,Construction,Construction,,Micro,True
Bright Outdoor Media Ltd,BRIGHT,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Brisk Technovision Ltd,BRISK,BSE SME,Information Technology,Information Technology,,Micro,True
Broach Lifecare Hospital Ltd,BROACH,BSE SME,Healthcare,Healthcare,,Micro,True
B-Right Realestate Ltd,BRRL,BSE SME,Realty,Realty,,Micro,True
Blueblood Ventures Ltd,BVL,BSE SME,Financial Services,Financial Services,,Micro,True
Cargosol Logistics Ltd,CARGOSOL,BSE SME,Services,Services,,Micro,True
Cargotrans Maritime Ltd,CARGOTRANS,BSE SME,Services,Services,,Micro,True
Chandra Bhagat Pharma Ltd,CBPL,BSE SME,Healthcare,Healthcare,,Micro,True
City Crops Agro Ltd,CCAL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
CFF Fluid Control Ltd,CFF,BSE SME,Capital Goods,Capital Goods,,Micro,True
Chatha Foods Ltd,CHATHA,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Cian Healthcare Ltd,CHCL,BSE SME,Healthcare,Healthcare,,Micro,True
Chemkart India Ltd,CHEMKART,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Chiraharit Ltd,CHIRAHARIT,BSE SME,Construction,Construction,,Micro,True
Chothani Foods Ltd,CHOTHANI,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Chatterbox Technologies Ltd,CHTR,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Citichem India Ltd,CITICHEM,BSE SME,Chemicals,Chemicals,,Micro,True
Cityon Systems (India) Ltd (ITP),CITYON (ITP),BSE SME,-,-,,Micro,True
Jay Ambe Supermarkets Ltd,CITYSQUARE,BSE SME,Consumer Services,Consumer Services,,Micro,True
Clara Industries Ltd,CLARA,BSE SME,Capital Goods,Capital Goods,,Micro,True
CLN Energy Ltd,CLN,BSE SME,Automobile and Auto Components,Automobile and Auto Components,,Micro,True
Concord Control Systems Ltd,CNCRD,BSE SME,Capital Goods,Capital Goods,,Micro,True
Channel Nine Entertainment Ltd,CNEL,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Capitalnumbers Infotech Ltd,CNINFOTECH,BSE SME,Information Technology,Information Technology,,Micro,True
Command Polymers Ltd,COMMAND,BSE SME,Capital Goods,Capital Goods,,Micro,True
Comrade Appliances Ltd,COMRADE,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Containe Technologies Ltd,CONTAINE,BSE SME,Capital Goods,Capital Goods,,Micro,True
Cosmic CRF Ltd,COSMICCRF,BSE SME,Capital Goods,Capital Goods,,Micro,True
Cospower Engineering Ltd,COSPOWER,BSE SME,Capital Goods,Capital Goods,,Micro,True
United Cotfab Ltd,COTFAB,BSE SME,Textiles,Textiles,,Micro,True
City Pulse Multiventures Ltd,CPML,BSE SME,Consumer Services,Consumer Services,,Micro,True
CRP Risk Management Ltd,CRPRISK,BSE SME,Services,Services,,Micro,True
Cryogenic Ogs Ltd,CRYOGENIC,BSE SME,Capital Goods,Capital Goods,,Micro,True
Captain Technocast Ltd,CTCL,BSE SME,Capital Goods,Capital Goods,,Micro,True
Clinitech Laboratory Ltd,CTLLAB,BSE SME,Healthcare,Healthcare,,Micro,True
Dachepalli Publishers Ltd,DACHEPALLI,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
DAPS Advertising Ltd,DAPS,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Davin Sons Retail Ltd,DAVIN,BSE SME,Textiles,Textiles,,Micro,True
Devoted Construction Ltd,DCL,BSE SME,Realty,Realty,,Micro,True
Deepak Chemtex Ltd,DEEPAKCHEM,BSE SME,Chemicals,Chemicals,,Micro,True
Defrail Technologies Ltd,DEFRAIL,BSE SME,Capital Goods,Capital Goods,,Micro,True
